epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_contrastive_loss,val_contrastive_loss,learning_rate,contrastive_weight
1,2.235804055418287,2.0791563391685486,20.454545454545453,23.636363636363637,2.2992713493960246,0.0,2.5e-05,0.0
2,1.972718983888626,1.9854804873466492,30.454545454545453,14.545454545454545,2.0703911057540347,0.0,2.5e-05,0.010000000000000002
3,1.7732324344771249,1.6749888956546783,38.75,42.72727272727273,1.8179647539343153,0.0,2.5e-05,0.020000000000000004
4,1.5750174607549394,1.2697944045066833,48.75,63.63636363636363,1.557855440037591,0.0,2.5e-05,0.03
5,1.368072462933404,1.098146378993988,58.86363636363637,71.81818181818181,1.1045068268265044,0.0,2.5e-05,0.04000000000000001
6,1.2571470056261336,1.0248930007219315,65.79545454545455,74.54545454545455,0.8953097441366741,0.0,2.5e-05,0.05
7,1.1669907016413552,1.0080782771110535,72.27272727272727,73.63636363636364,0.8100276121071407,0.0,2.5e-05,0.06
8,1.064697008047785,0.7150872647762299,76.81818181818181,98.18181818181819,0.6380940675735474,0.0,2.5e-05,0.06999999999999999
9,0.9420079716614315,0.6664923578500748,85.68181818181819,99.0909090909091,0.49668282909052713,0.0,2.5e-05,0.08000000000000002
10,0.822361192532948,0.6108838617801666,92.04545454545455,99.0909090909091,0.39873274735042025,0.0,2.5e-05,0.09000000000000001
11,0.8311438368899482,0.5936000496149063,90.0,100.0,0.3190686266337122,0.0,2.5e-05,0.1
12,0.7616736612149647,0.720101609826088,93.52272727272727,86.36363636363636,0.29217259319765226,0.0,2.5e-05,0.1
13,0.716887007866587,0.5815119743347168,95.68181818181819,100.0,0.21651687260184968,0.0,2.5e-05,0.1
14,0.7309663529906955,0.7190747708082199,94.88636363636364,88.18181818181819,0.20623766231749738,0.0,2.5e-05,0.1
15,0.6735398918390274,0.5800184905529022,97.38636363636364,100.0,0.18130864681942122,0.0,2.5e-05,0.1
16,0.6577351540327072,0.6072561293840408,97.95454545454545,99.0909090909091,0.16637018589036806,0.0,2.5e-05,0.1
17,0.6519055962562561,0.5665004104375839,98.06818181818181,100.0,0.16857566152300155,0.0,2.5e-05,0.1
18,0.6470121783869607,0.5682057589292526,98.06818181818181,99.0909090909091,0.1324802049036537,0.0,2.5e-05,0.1
19,0.6300722530909947,0.5707327127456665,98.97727272727273,100.0,0.1270747442862817,0.0,2.5e-05,0.1
20,0.6488102461610522,0.5594461858272552,97.5,99.0909090909091,0.10781804671777147,0.0,2.5e-05,0.1
21,0.6260559750454766,0.5515181124210358,98.63636363636364,100.0,0.08342203005616154,0.0,2.5e-05,0.1
22,0.6078117149216788,0.5691011250019073,99.43181818181819,99.0909090909091,0.0912965132987925,0.0,2.5e-05,0.1
23,0.6126649379730225,0.5348032414913177,99.31818181818181,100.0,0.07653822829680783,0.0,2.5e-05,0.1
24,0.6035986223391124,0.5491687804460526,99.31818181818181,100.0,0.06623220922691482,0.0,2.5e-05,0.1
25,0.6045634640114648,0.609003558754921,99.20454545454545,97.27272727272727,0.06860390890921865,0.0,2.5e-05,0.1
26,0.5811922465051923,0.5618665665388107,99.77272727272727,99.0909090909091,0.06622919413660254,0.0,2.5e-05,0.1
27,0.5853637712342399,0.5443144738674164,99.43181818181819,100.0,0.05266369440193687,0.0,2.5e-05,0.1
28,0.5886138187987464,0.5621306449174881,99.54545454545455,99.0909090909091,0.05285612613494907,0.0,2.5e-05,0.1
29,0.5762178983007159,0.5345061123371124,99.77272727272727,100.0,0.05255849047430924,0.0,2.5e-05,0.1
30,0.5736258306673595,0.5375248193740845,99.88636363636364,100.0,0.04753973175372396,0.0,2.5e-05,0.1
31,0.5834579936095646,0.535488948225975,99.54545454545455,100.0,0.04403100821322629,0.0,2.5e-05,0.1
32,0.5821174340588706,0.527389869093895,99.6590909090909,100.0,0.04318417588781033,0.0,2.5e-05,0.1
33,0.5694402818168912,0.5263934582471848,100.0,100.0,0.040351497674626965,0.0,2.5e-05,0.1
34,0.5700495264359883,0.5277676731348038,99.88636363636364,100.0,0.03376313205808401,0.0,2.5e-05,0.1
35,0.5695527004344123,0.5488814562559128,99.6590909090909,98.18181818181819,0.04677525847884161,0.0,2.5e-05,0.1
36,0.5848164579698018,0.5641601532697678,98.97727272727273,97.27272727272727,0.04847104847431183,0.0,2.5e-05,0.1
37,0.5634739995002747,0.5328015685081482,99.6590909090909,100.0,0.04171583821464862,0.0,2.5e-05,0.1
38,0.5620813731636319,0.5234967023134232,99.77272727272727,100.0,0.03636132639699748,0.0,2.5e-05,0.1
