epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_contrastive_loss,val_contrastive_loss,learning_rate,contrastive_weight,epoch_time,timestamp
1,2.235804055418287,2.0791563391685486,20.454545454545453,23.636363636363637,2.2992713493960246,0.0,0.0001,0.0,39.320563554763794,2025-07-11 20:04:49
2,1.972718983888626,1.9854804873466492,30.454545454545453,14.545454545454545,2.0703911057540347,0.0,0.0001,0.010000000000000002,37.89285635948181,2025-07-11 20:05:27
3,1.7732324344771249,1.6749888956546783,38.75,42.72727272727273,1.8179647539343153,0.0,0.0001,0.020000000000000004,38.190185546875,2025-07-11 20:06:05
4,1.5750174607549394,1.2697944045066833,48.75,63.63636363636363,1.557855440037591,0.0,0.0001,0.03,38.691640853881836,2025-07-11 20:06:44
5,1.368072462933404,1.098146378993988,58.86363636363637,71.81818181818181,1.1045068268265044,0.0,0.0001,0.04000000000000001,37.017285108566284,2025-07-11 20:07:21
6,1.2571470056261336,1.0248930007219315,65.79545454545455,74.54545454545455,0.8953097441366741,0.0,0.0001,0.05,37.0390088558197,2025-07-11 20:07:58
7,1.1669907016413552,1.0080782771110535,72.27272727272727,73.63636363636364,0.8100276121071407,0.0,0.0001,0.06,36.631993532180786,2025-07-11 20:08:35
8,1.064697008047785,0.7150872647762299,76.81818181818181,98.18181818181819,0.6380940675735474,0.0,0.0001,0.06999999999999999,36.41177749633789,2025-07-11 20:09:11
9,0.9420079716614315,0.6664923578500748,85.68181818181819,99.0909090909091,0.49668282909052713,0.0,0.0001,0.08000000000000002,36.24651837348938,2025-07-11 20:09:48
10,0.822361192532948,0.6108838617801666,92.04545454545455,99.0909090909091,0.39873274735042025,0.0,0.0001,0.09000000000000001,36.203579902648926,2025-07-11 20:10:24
11,0.8311438368899482,0.5936000496149063,90.0,100.0,0.3190686266337122,0.0,0.0001,0.1,36.638185024261475,2025-07-11 20:11:01
12,0.7616736612149647,0.720101609826088,93.52272727272727,86.36363636363636,0.29217259319765226,0.0,0.0001,0.1,36.7530243396759,2025-07-11 20:11:38
13,0.716887007866587,0.5815119743347168,95.68181818181819,100.0,0.21651687260184968,0.0,0.0001,0.1,37.356876850128174,2025-07-11 20:12:15
14,0.7309663529906955,0.7190747708082199,94.88636363636364,88.18181818181819,0.20623766231749738,0.0,0.0001,0.1,36.72016787528992,2025-07-11 20:12:52
15,0.6735398918390274,0.5800184905529022,97.38636363636364,100.0,0.18130864681942122,0.0,0.0001,0.1,36.392051219940186,2025-07-11 20:13:28
16,0.6577351540327072,0.6072561293840408,97.95454545454545,99.0909090909091,0.16637018589036806,0.0,0.0001,0.1,36.62190365791321,2025-07-11 20:14:05
17,0.6519055962562561,0.5665004104375839,98.06818181818181,100.0,0.16857566152300155,0.0,0.0001,0.1,35.7637152671814,2025-07-11 20:14:40
